outlet,count,total_count
The Daytona Beach News-Journal,23,23
"WBBM-AM (Chicago, IL)",23,23
TCPalm,23,23
"WEAU-TV (Eau Claire, WI)",23,23
"WFAN-FM (New York, NY)",23,23
"WESA-FM (Pittsburgh, PA)",23,23
Florida Times-Union,22,22
Crain's Detroit Business,22,22
Spectrum News Central NC,22,22
"KLKN-TV (Lincoln, NE)",22,22
Connecticut Post,22,22
Washingtonian,22,22
"WTRF-TV (Wheeling, WV)",22,22
"KERO-TV (Bakersfield, CA)",22,22
Vail Daily,22,22
"KTVQ-TV (Billings, MT)",22,22
Democrat and Chronicle,22,22
Charleston Gazette-Mail,22,22
MinnPost,22,22
The Canton Repository,22,22
"WYMT-TV (Hazard, KY)",22,22
Las Vegas Sun,22,22
Shelby County Reporter,22,22
"KMEX-TV (Los Angeles, CA)",22,22
The Week Magazine (US),22,22
"KMPH-TV (Fresno, CA)",22,22
News 12 Connecticut,22,22
Pantagraph,22,22
"WNDU-TV (South Bend, IN)",22,22
Billings Gazette,22,22
"KTEN-TV (Denison, TX)",22,22
"WSYR-TV (East Syracuse, NY)",22,22
"WROC-TV (Rochester, NY)",22,22
"KJZZ-FM (Phoenix, AZ)",21,21
Bicycling Magazine,21,21
"WOWK-TV (Charleston, WV)",21,21
"WLBT-TV (Jackson, MS)",21,21
"WEHT-TV (Henderson, KY)",21,21
"WAAY-TV (Huntsville, AL)",21,21
"WABI-TV (Bangor, ME)",21,21
"WABE-FM (Atlanta, GA)",21,21
"KDKA-FM (Pittsburgh, PA)",21,21
"WCHS-TV (Charleston, WV)",21,21
"WHIO-TV (Dayton, OH)",21,21
WDET-FM (Detroit MI),21,21
"KRCR-TV (Redding/Chico, CA)",21,21
"KMAX-TV (West Sacramento, CA)",21,21
SELF Magazine,21,21
"WILX-TV (Lansing, MI)",21,21
"WRGB-TV (Albany, NY)",21,21
"WSB-AM (Atlanta, GA)",21,21
"KTIV-TV (Sioux City, IA)",21,21
"WMTW-TV (Auburn, ME)",21,21
Iowa Public Radio,20,20
Golf Magazine,20,20
"KTBS-TV (Shreveport, LA)",20,20
"WKBT-TV (La Crosse, WI)",20,20
"KREM-TV (Spokane, WA)",20,20
"KSBY-TV (San Luis Obispo, CA)",20,20
"WCBS-AM (New York, NY)",20,20
"WSFA-TV (Montgomery, AL)",20,20
"WETM-TV (Elmira, NY)",20,20
"WKXW-FM (Ewing, NJ)",20,20
Pensacola News Journal,20,20
"WIS-TV (Columbia, SC)",20,20
Observer-Reporter,20,20
"WXTV-TV (Teaneck, NJ)",20,20
"WCBI-TV (Columbus, MS)",20,20
"KBAK-TV (Bakersfield, CA)",20,20
"WBZ-AM (Boston, MA)",20,20
Jalopnik,20,20
South Bend Tribune,20,20
"WAPT-TV (Jackson, MS)",20,20
"KAAL-TV (Austin, MN)",19,19
"WABC-AM (New York, NY)",19,19
"KXLN-TV (Houston, TX)",19,19
"KXL-FM (Portland, OR)",19,19
Georgia Public Broadcasting,19,19
"KAKE-TV (Wichita, KS)",19,19
CleanTechnica,19,19
Nashville Scene,19,19
"KGUN-TV (Tucson, AZ)",19,19
The Cap Times,19,19
The Blaze,19,19
"KFSM-TV (Fort Smith, AR)",19,19
"WCYB-TV (Bristol, VA)",19,19
The Herald Dispatch,19,19
KTOO Public Media,19,19
Oakland Press,19,19
The Hampshire Review,19,19
"KATC-TV (Lafayette, LA)",19,19
"WNEM-TV (Saginaw, MI)",19,19
Spectrum News Austin,19,19
"WHAM-TV (Rochester, NY)",18,18
"WTOK-TV (Meridian, MS)",18,18
Texas Public Radio (TPR),18,18
Greensboro News & Record,18,18
"KOA-AM (Denver, CO)",18,18
"WBAL-AM (Baltimore, MD)",18,18
Savannah Morning News,18,18
The Post-Crescent,18,18
"WVNY-TV (Colchester, VT)",18,18
Maine Public Broadcasting Network,18,18
Erie Times-News,18,18
RealClear Politics,18,18
"KSTS-TV (San Jose, CA)",18,18
Daily Item,18,18
"WXPN-FM (Philadelphia, PA)",18,18
"WTMJ-AM (Milwaukee, WI)",18,18
"KTAZ-TV (Phoenix, AZ)",18,18
The Greenville News,18,18
Citizens Voice,18,18
Idaho Press,18,18
"KKCO-TV (Grand Junction, CO)",18,18
Grand Island Independent,18,18
"WJR-AM (Detroit, MI)",18,18
"WFPL-FM (Louisville, KY)",18,18
Asheville Citizen Times,18,18
The Shreveport Times,17,17
"KTAR-FM (Phoenix, AZ)",17,17
"WWNO-FM (New Orleans, LA)",17,17
"KTVN-TV (Reno, NV)",17,17
"KRNV-TV (Reno, NV)",17,17
"KPCW-FM (Salt Lake City, UT)",17,17
The Jewish Chronicle,17,17
The Press-Enterprise,17,17
"WKTV-TV (Utica,NY)",17,17
"KALB-TV (Alexandria, LA)",17,17
"KVOA-TV (Tucson, AZ)",17,17
"KSWO-TV (Lawton, OK)",17,17
Bucks County Courier Times,17,17
The Drive,17,17
"KRLD-AM (Dallas, TX)",17,17
Decatur Daily,17,17
"WACH-TV (Columbia, SC)",17,17
The Chronicle Telegram,17,17
The Current,17,17
"WGME-TV (Portland, ME)",17,17
Daily Camera,17,17
"WBZ-FM (Boston, MA)",17,17
"KHBS/KHOG-TV (Fort Smith, AR)",17,17
"WOLO-TV (Columbia, SC)",17,17
Atlanta Business Chronicle,17,17
The Christian Post,17,17
Kennebec Journal,17,17
"KATV-TV (Little Rock, AR)",17,17
"The Daily Times (Maryville, TN)",17,17
EatingWell,17,17
"WMAZ-TV (Macon, GA)",17,17
The Washington Free Beacon,16,16
"WBGO-FM (Newark, NJ)",16,16
Epicurious,16,16
idobi Radio,16,16
"WWJ-AM (Detroit, MI)",16,16
"KRLD-FM (Dallas, TX)",16,16
"KWWL-TV (Waterloo, IA)",16,16
"Spectrum News 1 (San Antonio, Texas)",16,16
The Bulwark,16,16
Green Bay Press-Gazette,16,16
San Francisco Business Times,16,16
The American Prospect,16,16
"KIVI-TV (Nampa, ID)",16,16
"Daily Press (Newport News, VA)",16,16
Religion News Service,16,16
The Aspen Times,16,16
"WXOW-TV (La Crosse, WI)",16,16
Iowa Public Television,16,16
"KHPR-FM (Honolulu, HI)",16,16
The Island Packet,16,16
Lansing State Journal,16,16
"Telegraph Herald (Dubuque, Iowa)",16,16
"WLS-AM (Chicago, IL)",16,16
"WINS-AM (New York, NY)",16,16
Keene Sentinel,16,16
Defense News,16,16
"WWMT-TV (Kalamazoo, MI)",16,16
Newsmax TV,16,16
New Haven Register,16,16
"WDAM-TV (Moselle, MS)",16,16
"KMTV-TV (Omaha, NE)",16,16
The Plain Dealer,16,16
TimesDaily,16,16
NBC Sports Chicago,16,16
The Diplomat Magazine,16,16
"KHGI-TV (Kearney, NE)",15,15
"KBZK-TV (Bozeman, MT)",15,15
"WSCR-AM (Chicago, IL)",15,15
Mediaite,15,15
The Anniston Star,15,15
Orlando Weekly,15,15
Dispatch Argus,15,15
"WOSU-FM (Columbus, OH)",15,15
Democracy Now!,15,15
Kokomo Tribune,15,15
West Central Tribune,15,15
Meriden Record Journal,15,15
Military.com,15,15
"WSCI-FM (Charleston, SC)",15,15
Traverse City Record-Eagle,15,15
Road & Track,15,15
Deadspin,15,15
"WJTV-TV (Jackson, MS)",15,15
